date,item,client_id,warehouse_id,item_descriptions,unit,init_stock,init_in,init_out,init_weight,current_stock,current_in,current_out,current_weight
9/22/23 12:00 AM,1040603002,003-00-00002-000,003,SG - CHICKEN NUGGET SPICY GRLIC 400G(SM),12,null,null,null,null,null,null,null,478.9921
9/22/23 12:00 AM,10000300000014,003-00-00002-000,003,Seafood Lovers Siomay Ikan kiloan (1 kg x 12 pack),12,null,null,null,null,null,null,null,27.2155
9/22/23 12:00 AM,1040501001,003-00-00002-000,003,SONICE SEDAAAP NUGGET 250 GR,24,null,null,null,null,null,null,null,7422.1403
9/22/23 12:00 AM,1040501002,003-00-00002-000,003,SONICE SEDAAAP NUGGET 1000 GR,6,null,null,null,null,null,null,null,1187.9987
9/22/23 12:00 AM,1040501003,003-00-00002-000,003,SONICE SEDAAAP NUGGET 500 GR,12,null,null,null,null,null,null,null,6741.269
9/22/23 12:00 AM,1040501004,003-00-00002-000,003,SONICE SEDAAAP STICK 250 GR,24,null,null,null,null,null,null,null,1132.1631
9/22/23 12:00 AM,1040501005,003-00-00002-000,003,SONICE SEDAAAP STICK 1000 GR,6,null,null,null,null,null,null,null,381.0164
9/22/23 12:00 AM,1040501006,003-00-00002-000,003,SONICE SEDAAAP STICK 500 GR,12,null,null,null,null,null,null,null,571.5246
9/22/23 12:00 AM,1040501050,003-00-00002-000,003,SO ECO CHICKEN NUGGET 500GR,12,null,null,null,null,null,null,null,427.2827
9/22/23 12:00 AM,1040501051,003-00-00002-000,003,SO ECO CHICKEN NUGGET 1000GR,6,null,null,null,null,null,null,null,29.937
9/22/23 12:00 AM,1040503002,003-00-00002-000,003,SO ECO FISH STICK 500 G,12,null,null,null,null,null,null,null,644.4621
9/22/23 12:00 AM,1040503007,003-00-00002-000,003,SO ECO SOSIS MERAH 750g,8,null,null,null,null,null,null,null,381.0164
9/22/23 12:00 AM,1040504001,003-00-00002-000,003,SN SEDAAAP SOSIS AYAM 75 GRAM,50,null,null,null,null,null,null,null,122.4696
9/22/23 12:00 AM,1040504006,003-00-00002-000,003,SN SEDAAP SOSIS AYAM 1000GR (PANJANG),6,null,null,null,null,null,null,null,27.2155
9/22/23 12:00 AM,1040504011,003-00-00002-000,003,SN SEDAAP SOSIS AYAM 500GR(PJG) NEW 33GR,12,null,null,null,null,null,null,null,168.7358
9/22/23 12:00 AM,1040504013,003-00-00002-000,003,SN SOSIS AYAM 375 GRAM - Thermo,12,null,null,null,null,null,null,null,1387.9884
9/22/23 12:00 AM,1040504014,003-00-00002-000,003,SN SOSIS BAKAR 500G (AYAM RASA SAPI),12,null,null,null,null,null,null,null,45.3591
9/22/23 12:00 AM,1040601001,003-00-00002-000,003,SG - DINOBITES ORIGINAL 400 GR,12,null,null,null,null,null,null,null,487.701
9/22/23 12:00 AM,1040601002,003-00-00002-000,003,SG - ALPHABET ORIGINAL 400 GR,12,null,null,null,null,null,null,null,975.402
9/22/23 12:00 AM,1040601003,003-00-00002-000,003,SG - JET NUGGET 400 GR,12,null,null,null,null,null,null,null,1421.7355
9/22/23 12:00 AM,1040601006,003-00-00002-000,003,SG - NUGGET DONAT 400 GRAM,12,null,null,null,null,null,null,null,278.6863
9/22/23 12:00 AM,1040601007,003-00-00002-000,003,SG - CHICK 'N VEGGIE 400 GRAM,12,null,null,null,null,null,null,null,452.8652
